1,110139,938
2,158479,826
3,105986,746
4,106779,738
5,20464,726
6,130433,722
7,20692,647
8,140601,630
9,23829,610
10,105984,609
11,105314,579
12,186699,559
13,109613,558
14,5876,557
15,140313,542
16,37117,527
17,83813,526
18,5802,525
19,63136,522
20,102697,519
21,103311,489
22,111398,486
23,26166,486
24,146927,485
25,137645,471
26,78314,470
27,40881,461
28,19196,461
29,127319,453
30,70934,452
31,155446,449
32,146164,449
33,9336,444
34,110105,441
35,115516,438
36,175754,435
37,116874,431
38,101707,431
39,186696,431
40,102964,423
41,154863,422
42,21946,420
43,24908,417
44,157346,417
45,135806,415
46,146908,414
47,165601,412
48,137230,409
49,184965,405
50,110190,403
51,98250,402
52,154029,402
53,18035,401
54,20112,398
55,36081,397
56,143264,395
57,25217,393
58,63706,392
59,43635,392
60,109756,392
61,120492,392
62,25423,391
63,114747,389
64,69697,388
65,111716,387
66,93599,384
67,186775,383
68,92883,383
69,41775,382
70,98251,381
71,100262,379
72,24687,379
73,114197,379
74,144553,375
75,20030,374
76,121530,371
77,40866,371
78,121601,370
79,20693,368
80,66894,366
81,143765,366
82,46650,365
83,11338,365
84,5858,365
85,20519,364
86,171418,364
87,21550,364
88,21540,362
89,105970,361
90,110015,361
91,5640,360
92,128754,360
93,110181,359
94,43285,356
95,130416,355
96,147307,355
97,125462,354
98,2735,353
99,166319,352
100,117611,352
101,130426,350
102,28972,350
103,43331,349
104,117309,348
105,16205,347
106,121329,345
107,20509,343
108,109825,343
109,120491,343
110,36062,342
111,23648,341
112,31542,341
113,109905,341
114,113350,339
115,178703,337
116,143265,336
117,168935,336
118,112534,335
119,33435,334
120,186709,334
121,140320,333
122,106119,331
123,38947,330
124,25837,329
125,144512,329
126,136743,327
127,169639,326
128,66512,325
129,7772,324
130,121258,323
131,122510,322
132,94027,322
133,115826,321
134,111587,319
135,47637,319
136,25822,318
137,141951,317
138,8343,316
139,106981,316
140,11296,314
141,31687,314
142,117281,313
143,33431,313
144,134760,313
145,109820,313
146,155457,312
147,22258,312
148,28456,311
149,67674,311
150,193408,310
151,146971,310
152,19300,310
153,103315,310
154,21561,309
155,94523,308
156,24926,308
157,140155,308
158,65764,308
159,5505,306
160,65024,306
161,123040,306
162,31051,305
163,155453,305
164,148228,305
165,130265,305
166,137225,304
167,24874,302
168,187059,302
169,18580,302
170,35212,302
171,184029,301
172,18402,301
173,157842,301
174,15865,301
175,137205,301
176,121525,300
177,19310,300
178,22601,299
179,114555,299
180,173660,299
181,5794,299
182,111397,298
183,119618,298
184,109571,298
185,166348,298
186,19701,298
187,114200,297
188,153444,297
189,135041,296
190,92723,296
191,92101,296
192,127380,295
193,8974,295
194,15583,293
195,117697,293
196,146900,292
197,119626,292
198,54323,291
199,21263,291
200,20436,290
201,40885,290
202,127094,290
203,109809,289
204,114785,289
205,186710,288
206,111395,287
207,24001,287
208,146916,286
209,109768,286
210,5838,286
